Whole Milk,00112501
Granny Smith Apples,07834002
Canned Tuna,45567003
Frozen Peas,10293004
Whole Wheat Bread,23789005
Cheddar Cheese,56002006
Chicken Breast,00456007
Long Grain White Rice,78901008
Organic Baby Spinach,33214009
Pasta Sauce,67011010
Crunchy Peanut Butter,11887011
Orange Juice,90321012
All-Purpose Flour,05432013
Potato Chips,88654014
Coffee,40076015
Greek Yogurt,11223016
Salmon Fillet,11224017
Broccoli Crowns,11225018
Black Beans,11226019
Sourdough Bread,11227020
Mozzarella Cheese,11228021
Ground Beef,11229022
Quinoa,11230023
Olive Oil,11231024
Tomato Ketchup,11232025
Almonds,11233026
Green Tea Bags,11234027
Dish Soap,11235028
Paper Towels,11236029
Laundry Detergent,11237030
